our_policy,opp_policy,max_depth,%_matches_wins,competitions_wins
Greedy,Thunder,,38.0,0
Greedy,Thunder,,40.0,0
Greedy,Thunder,,38.0,1
Greedy,Thunder,,44.0,1
Greedy,Thunder,,40.0,1
Greedy,Thunder,,40.0,1
Greedy,Thunder,,40.0,1
Greedy,Thunder,,48.0,1
Greedy,Thunder,,34.0,0
Greedy,Thunder,,28.0,0
Greedy,Thunder,,36.0,0
Greedy,Thunder,,40.0,0
Greedy,Thunder,,28.0,0
Greedy,Thunder,,38.0,0
Greedy,Thunder,,28.0,0
Greedy,Thunder,,40.0,1
Greedy,Thunder,,30.0,1
Greedy,Thunder,,42.0,0
Greedy,Thunder,,36.0,1
Greedy,Thunder,,18.0,0
Greedy,Thunder,,38.0,0
Greedy,Thunder,,40.0,0
Greedy,Thunder,,44.0,0
Greedy,Thunder,,36.0,0
Greedy,Thunder,,36.0,0
Greedy,Thunder,,44.0,1
Greedy,Thunder,,38.0,0
Greedy,Thunder,,40.0,1
Mixed,Hayo5,2.0,46.0,1
Mixed,Hayo5,2.0,38.0,1
Mixed,Hayo5,2.0,48.0,2
Mixed,Hayo5,2.0,50.0,2
Mixed,Hayo5,2.0,38.0,1
Mixed,Hayo5,2.0,48.0,0
Mixed,Hayo5,2.0,32.0,0
Mixed,Hayo5,2.0,22.0,0
Mixed,Hayo5,2.0,42.0,1
Mixed,Hayo5,2.0,34.0,1
Mixed,Hayo5,2.0,36.0,0
Mixed,Hayo5,2.0,46.0,1
Mixed,Hayo5,2.0,50.0,1
Mixed,Hayo5,2.0,42.0,0
Mixed,Hayo5,2.0,40.0,1
Mixed,Hayo5,2.0,46.0,1
Mixed,Hayo5,2.0,28.0,0
Mixed,Hayo5,2.0,38.0,0
Mixed,Hayo5,2.0,40.0,0
Mixed,Hayo5,2.0,26.0,0
Mixed,Hayo5,2.0,42.0,0
Mixed,Hayo5,2.0,44.0,0
Mixed,Hayo5,2.0,38.0,0
Mixed,Hayo5,2.0,36.0,0
Mixed,Hayo5,2.0,26.0,1
Mixed,MiniMax,2.0,64.0,3
Mixed,MiniMax,2.0,48.0,2
Mixed,MiniMax,2.0,62.0,4
Mixed,PrunedBFS,2.0,62.0,4
Mixed,PrunedBFS,2.0,40.0,1
Mixed,PrunedBFS,2.0,52.0,2
Mixed,PrunedBFS,2.0,38.0,0
Mixed,PrunedBFS,2.0,52.0,2
Mixed,PrunedBFS,2.0,40.0,0
Mixed,PrunedBFS,2.0,52.0,2
Mixed,PrunedBFS,2.0,56.0,2
Mixed,PrunedBFS,2.0,60.0,4
Mixed,PrunedBFS,2.0,50.0,1
Mixed,PrunedBFS,2.0,38.0,0
Mixed,PrunedBFS,2.0,52.0,3
Mixed,PrunedBFS,2.0,50.0,3
Mixed,Thunder,2.0,36.0,0
Mixed,Thunder,2.0,50.0,1
Mixed,Thunder,2.0,38.0,0
Mixed,Thunder,2.0,50.0,1
Mixed,Thunder,2.0,32.0,0
Mixed,Thunder,2.0,38.0,1
Mixed,Thunder,2.0,30.0,0
Mixed,Thunder,2.0,42.0,1
Mixed,Thunder,2.0,46.0,1
Mixed,Thunder,2.0,56.0,2
Mixed,Thunder,2.0,42.0,1
Mixed,Thunder,2.0,26.0,0
Mixed,Thunder,2.0,48.0,0
Mixed,Thunder,2.0,40.0,1
Mixed,Thunder,2.0,38.0,0
Mixed,Thunder,2.0,52.0,3
Mixed,Thunder,2.0,34.0,0
Mixed,Thunder,2.0,42.0,2
Mixed,Thunder,2.0,30.0,0
Mixed,Thunder,2.0,26.0,0
Mixed,Thunder,2.0,38.0,0
Mixed,Thunder,2.0,42.0,1
Mixed,Thunder,2.0,54.0,2
Mixed,Thunder,2.0,30.0,1
Mixed,Thunder,2.0,44.0,0
Mixed,Thunder,2.0,52.0,1
Mixed,Thunder,2.0,30.0,0
Mixed,Thunder,2.0,34.0,0
Mixed,Thunder,2.0,44.0,2
Mixed,Thunder,2.0,50.0,1
Mixed,Thunder,2.0,40.0,0
Mixed,Thunder,2.0,28.0,0
Mixed,Thunder,2.0,44.0,0
Mixed,Thunder,2.0,52.0,2
Mixed,Thunder,2.0,44.0,1
Mixed,Thunder,2.0,40.0,1
Mixed,Thunder,2.0,30.0,0
Mixed,Thunder,2.0,44.0,1
Mixed,Thunder,2.0,40.0,1
Mixed,Thunder,2.0,54.0,2
Mixed,Thunder,2.0,34.0,0
Mixed,Thunder,2.0,46.0,1
Mixed,Thunder,2.0,42.0,1
Mixed,Thunder,2.0,48.0,2
Mixed,Thunder,2.0,42.0,1
Mixed,Thunder,2.0,40.0,0
Mixed,Thunder,2.0,40.0,0
Mixed,Thunder,2.0,44.0,2
Mixed,Thunder,2.0,40.0,1
Mixed,Thunder,2.0,30.0,0
Mixed,PrunedBFS,4.0,56.0,2
Mixed,PrunedBFS,4.0,46.0,1
Mixed,PrunedBFS,4.0,44.0,0
Mixed,PrunedBFS,4.0,64.0,3
Mixed,PrunedBFS,4.0,52.0,1
Mixed,PrunedBFS,4.0,60.0,2
Mixed,PrunedBFS,4.0,58.0,3
Mixed,PrunedBFS,4.0,66.0,3
Mixed,PrunedBFS,4.0,40.0,0
Mixed,PrunedBFS,4.0,52.0,1
Mixed,PrunedBFS,4.0,70.0,5
Mixed,PrunedBFS,4.0,62.0,4
Mixed,PrunedBFS,4.0,66.0,4
Mixed,PrunedBFS,4.0,70.0,5
Mixed,PrunedBFS,4.0,54.0,2
Mixed,Thunder,4.0,52.0,2
Mixed,Thunder,4.0,50.0,1
Mixed,Thunder,4.0,42.0,0
Mixed,Thunder,4.0,36.0,0
Mixed,Thunder,4.0,48.0,1
Mixed,Thunder,4.0,56.0,4
Mixed,Thunder,4.0,54.0,2
Mixed,Thunder,4.0,46.0,0
Mixed,Thunder,4.0,34.0,0
Mixed,Thunder,4.0,46.0,1
Mixed,Thunder,4.0,42.0,0
Mixed,Thunder,4.0,44.0,1
Mixed,Thunder,4.0,40.0,0
Mixed,Thunder,4.0,36.0,1
Mixed,Thunder,4.0,40.0,0
Mixed,Thunder,4.0,38.0,0
Mixed,Thunder,4.0,46.0,0
Mixed,Thunder,4.0,42.0,1
Mixed,Thunder,4.0,30.0,0
Mixed,Thunder,4.0,36.0,0
Mixed,Thunder,4.0,36.0,1
Mixed,Thunder,4.0,30.0,0
Mixed,Thunder,4.0,40.0,0
Mixed,Thunder,4.0,26.0,0
Mixed,Thunder,4.0,52.0,2
Mixed,Thunder,4.0,54.0,2
Mixed,Thunder,4.0,58.0,2
Mixed,Thunder,4.0,44.0,0
Mixed,Thunder,4.0,50.0,1
Mixed,Thunder,4.0,48.0,1
Mixed,Thunder,4.0,38.0,1
Mixed,Thunder,4.0,44.0,0
Mixed,Thunder,4.0,48.0,1
Mixed,Thunder,4.0,44.0,1
Mixed,Thunder,4.0,30.0,0
Mixed,Thunder,4.0,38.0,0
Mixed,Thunder,4.0,48.0,1
Mixed,Thunder,4.0,52.0,1
Mixed,Thunder,4.0,46.0,1
Mixed,Thunder,4.0,50.0,1
Mixed,Thunder,4.0,54.0,1
Mixed,Thunder,4.0,30.0,0
Mixed,Thunder,4.0,30.0,1
Mixed,Thunder,4.0,40.0,1
Mixed,Thunder,4.0,42.0,0
Mixed,Thunder,4.0,38.0,0
Mixed,Thunder,4.0,50.0,1
Mixed,Thunder,4.0,42.0,2
Mixed,Thunder,4.0,48.0,3
Mixed,Thunder,4.0,50.0,2
Mixed,PrunedBFS,6.0,62.0,2
Mixed,PrunedBFS,6.0,58.0,2
Mixed,PrunedBFS,6.0,58.0,1
Mixed,PrunedBFS,6.0,54.0,2
Mixed,PrunedBFS,6.0,44.0,0
Mixed,PrunedBFS,6.0,54.0,1
Mixed,PrunedBFS,6.0,56.0,3
Mixed,Thunder,6.0,44.0,1
Mixed,Thunder,6.0,38.0,1
Mixed,Thunder,6.0,52.0,2
Mixed,Thunder,6.0,48.0,0
Mixed,Thunder,6.0,42.0,1
Mixed,Thunder,6.0,54.0,1
Mixed,Thunder,6.0,48.0,2
Mixed,Thunder,6.0,34.0,0
Mixed,Thunder,6.0,48.0,1
Mixed,Thunder,6.0,32.0,0
Mixed,Thunder,6.0,46.0,1
Mixed,Thunder,6.0,44.0,2
Mixed,Thunder,6.0,42.0,0
Mixed,Thunder,6.0,48.0,2
Mixed,Thunder,6.0,42.0,0
Mixed,Thunder,6.0,44.0,0
Mixed,Thunder,6.0,50.0,1
Mixed,Thunder,6.0,34.0,0
Mixed,Thunder,6.0,60.0,4
Mixed,Thunder,6.0,52.0,2
Mixed,Thunder,6.0,36.0,1
Mixed,Thunder,6.0,34.0,0
Mixed,Thunder,6.0,46.0,1
Mixed,Thunder,6.0,32.0,0
Mixed,Thunder,6.0,48.0,2
Mixed,Thunder,6.0,46.0,0
Mixed,Thunder,6.0,44.0,2
Mixed,Thunder,6.0,46.0,0
Mixed,Thunder,6.0,34.0,0
Mixed,Thunder,6.0,34.0,0
Mixed,Thunder,6.0,30.0,0
Mixed,Thunder,6.0,36.0,0
Mixed,Thunder,6.0,46.0,1
Mixed,Thunder,6.0,32.0,0
Mixed,Thunder,6.0,46.0,1
Mixed,Thunder,6.0,36.0,0
Mixed,Thunder,6.0,36.0,0
Mixed,Thunder,6.0,48.0,1
Mixed,Thunder,6.0,46.0,2
Mixed,Thunder,6.0,34.0,0
Mixed,Thunder,6.0,36.0,1
Mixed,Thunder,6.0,46.0,2
Mixed,Thunder,6.0,58.0,2
Mixed,Thunder,6.0,32.0,0
